Id_com2017,Surfbati,Surfparc,Surfcons,Maison,Appart,Pro,Divers,Cumul,Dens_cons
76224,6532,114272.8,69117.01,34,0,2,0,36,5.20856
76225,1321.38,16055.3,16055.29,8,0,1,0,9,5.60563
76226,2259,28150.7,28150.62,18,0,0,0,18,6.39417
76227,5738.38,88953.75,88954.03,45,0,3,0,48,5.39605
76228,1731.38,16354.8,16354.75,14,0,0,0,14,8.5602
76229,2554.13,37217.34,37217.37,21,0,0,0,21,5.64253
76230,4536.88,74718.12,69331.53,33,6,0,0,39,5.62515
76231,49858,207950.52,194936.44,242,818,20,0,1080,55.4027
76232,3570.38,40117.23,40117.19,38,6,1,0,45,11.2171
76233,794,20261.28,13564.68,7,0,0,0,7,5.16046
76234,2494.13,42544.29,39956.02,23,0,0,0,23,5.75633
76235,9688.5,114438.57,101562.76,60,29,5,0,94,9.25536
76236,821.625,18047.36,18047.37,9,0,0,0,9,4.98688
76237,3184,30586.53,29724.84,24,0,0,0,24,8.07405
76238,14219.75,147696.1,118204.56,40,2,18,0,60,5.07595
76239,4771.88,369213.23,49483.54,22,0,2,0,24,4.8501
76240,24458.13,205040.59,205040.75,61,0,8,0,69,3.36518
76241,368,7408.99,7408.96,2,0,0,0,2,2.69943
76242,670,17750.02,17750.01,5,0,0,0,5,2.8169
76243,2928.88,41860.23,41860.35,25,0,1,0,26,6.21113
76244,3262.88,56725.5,42604.77,27,0,1,0,28,6.57203
76245,17984.25,139633.9,125341.32,69,1,21,0,91,7.26018
76247,4699,114409.41,50171.11,30,0,2,0,32,6.37817
76249,8212.5,103769.88,103036.43,76,0,2,0,78,7.57014
76250,5981.5,140041.13,89106.72,38,3,0,0,41,4.60122
76251,2179.75,62348.28,39779.13,16,0,0,0,16,4.02221
76252,12497.88,98104.25,98103.99,43,2,13,0,58,5.91209
76253,7779.75,133984.13,103319.64,59,12,1,0,72,6.96867
76254,1742.75,37434.61,19249.85,7,3,1,0,11,5.71433
76255,42482.63,243464.04,197639.53,114,98,34,0,246,12.4469
76257,1126.13,19736.22,19736.25,11,0,0,0,11,5.5735
76258,32091,422461.74,334062.71,183,102,9,0,294,8.80074
76259,81071.63,384633.6,357163.39,184,610,94,4,892,24.9746
76260,11434.75,81583.38,81583.35,52,11,9,1,73,8.9479
76261,3423.25,99492.6,62977.99,27,1,0,0,28,4.446
76262,700.875,17859.75,17859.83,5,0,0,0,5,2.79958
76263,8650.63,176756.71,126332.39,54,0,6,0,60,4.74938
76264,2366,24965.95,24965.91,15,0,1,0,16,6.40874
76265,513,16367.74,9750.26,3,0,0,0,3,3.07684
76266,9378,60524.85,46783.87,56,0,3,0,59,12.6112
76268,627,13857.29,13857.28,4,0,0,0,4,2.88657
76269,1393.88,16016.58,16016.53,12,0,0,0,12,7.49226
76270,11129.75,101600.12,101599.94,70,3,0,0,73,7.18504
76271,8593.5,83252.68,83252.63,86,0,1,0,87,10.4501
76272,1321,12760.58,12760.62,12,0,0,0,12,9.40393
76273,1803,16994.11,16994.08,13,0,0,0,13,7.64972
76274,195,1618.9,1618.93,1,0,0,0,1,6.17691
76275,3541.5,33830.29,28461.13,21,0,0,0,21,7.37848
76276,25144.38,271106.85,237151.02,88,128,21,1,238,10.0358
76278,3699.13,41889,34850.01,7,10,8,0,25,7.1736
76279,1881.13,40775.47,40775.46,10,0,4,0,14,3.43344
76280,326.5,7499.75,6362.99,3,0,0,0,3,4.71477
76281,21923.13,200605.17,186070.94,138,20,7,0,165,8.86759
76282,1681,30307.24,26396.44,15,0,0,0,15,5.68258
76283,2685,111879.97,42666.98,19,0,1,0,20,4.68747
76284,3143.25,37076.64,37076.57,26,0,0,0,26,7.01251
76285,5587.5,62158.62,62158.73,41,0,0,0,41,6.59602
76286,6733,217216.31,75310.89,35,0,2,0,37,4.91297
76287,5859,69358.41,69358.42,43,0,0,0,43,6.19968
76288,2228.75,47342.24,33325.92,21,0,0,0,21,6.3014
76289,11701,159767.83,151752.2,102,4,8,1,115,7.57814
76290,2604,47147.72,47147.6,17,0,1,0,18,3.8178
76291,5105.25,49511.57,49511.74,33,5,3,0,41,8.28086
76292,1251,18325.06,18325.04,9,0,1,0,10,5.45701
76293,1384.75,22984.49,22984.46,12,0,0,0,12,5.22092
76294,1339.25,29163.59,29163.56,12,0,1,0,13,4.45762
76295,6027.38,65760.79,46169.47,33,3,9,0,45,9.7467
76296,24043.5,161139.36,159681.7,146,0,11,0,157,9.83206
76297,1113.75,17675.47,17675.5,10,0,0,0,10,5.65755
76298,2768.13,34137.51,34137.51,25,0,1,0,26,7.61626
76299,3821.38,51822.66,48956.71,32,0,1,0,33,6.74065
76300,4035,29532.17,29532.18,17,0,1,0,18,6.09505
76302,16582,118947.15,118947.33,72,133,8,0,213,17.9071
76303,4482,43740.32,43740.43,25,0,2,0,27,6.17278
76304,3230,85876.19,52479,17,0,0,0,17,3.23939
76305,166066.51,2311539.78,1044421.47,144,141,81,14,380,3.63838
76306,1221.63,17968.88,17968.86,12,0,0,0,12,6.67822
76307,5302,59257.24,56120.79,21,31,4,0,56,9.97848
76308,5660.63,91707.3,91707.35,44,0,0,0,44,4.79787
76309,230.125,2268.18,2268.14,2,0,0,0,2,8.81779
76311,924.875,29424.73,14191.08,8,0,0,0,8,5.63734
76312,39174.25,269187.67,269187.51,224,121,26,0,371,13.7822
76313,4754.13,50445.65,50445.55,29,11,0,0,40,7.92934
76314,4826.63,60351.86,60351.85,34,0,0,0,34,5.63363
76315,6454.63,81247.4,68010.59,50,7,0,0,57,8.38105
76316,1179.13,111959.38,13109.69,10,0,0,0,10,7.62794
76317,2360.5,69909.57,69909.64,18,0,2,0,20,2.86084
76318,2953.75,57174.64,38173.7,18,0,0,0,18,4.71529
76319,90361.38,462332.97,428528.97,297,54,41,0,392,9.14757
76320,1968.88,28906.19,25874.1,18,9,0,0,27,10.4351
76321,7904.25,114223.88,84726.72,39,5,8,0,52,6.13738
76322,200150.75,766402,688754.88,163,407,81,2,653,9.48088
76323,1295,22831.42,22831.47,13,0,0,0,13,5.6939
76324,5702.13,33384,33384.01,36,0,3,0,39,11.6822
76325,2222.25,39750.86,37781.98,14,0,1,0,15,3.97015
76327,2914.25,30497.67,30497.75,22,0,0,0,22,7.21365
76328,3047.38,117855.88,75714.49,22,0,3,0,25,3.30188
76329,41738.25,224029.5,205204.96,203,57,22,0,282,13.7424
76330,5882.88,79014.55,72566.99,33,0,2,0,35,4.82313
76331,2758.25,37121.35,30861.75,28,0,0,0,28,9.07272
76332,4407,37491.96,37491.92,42,0,0,0,42,11.2024
76333,3323.5,32258.17,32258.28,25,2,1,0,28,8.67994
76334,3056.75,44312.5,35698.69,18,2,4,1,25,7.00306
76335,829.75,5726.65,5726.61,6,0,0,0,6,10.4774
76336,3170.13,51580.13,51580.21,24,0,0,0,24,4.65295
76338,1136.75,19890.31,16355.14,14,0,1,0,15,9.17143
76339,1794,20201.7,15754.09,19,0,0,0,19,12.0604
76340,3605.25,57092.74,47289.81,28,0,0,0,28,5.92094
76341,40111.5,239921.91,193931.03,66,140,45,1,252,12.9943
76342,4320.5,65085.04,55102.87,35,0,0,0,35,6.35176
76343,1600,15876.89,15876.91,10,0,0,0,10,6.29846
76344,2058.75,34319.21,32154.96,18,0,0,0,18,5.59789
76345,1757.5,23036.88,23036.82,10,0,1,0,11,4.77496
76346,2392.63,43578.09,37575.13,16,5,0,0,21,5.5888
76347,3018.25,50524.87,50524.89,19,0,0,0,19,3.76052
76348,4249,48693.05,48692.92,36,0,1,0,37,7.59864
76349,9077.13,109750.49,94913.15,51,8,6,0,65,6.84837
76350,2514,24141.78,22521.7,18,0,0,0,18,7.99229
76351,573108.26,3494852.82,2078682.22,952,5315,808,45,7120,34.2525
76352,2262.25,26442.91,25387.99,17,0,1,0,18,7.08997
76354,5486.25,56378.07,54741.38,39,0,0,0,39,7.12441
76355,3351.38,94215.08,45483.69,27,2,1,0,30,6.59577
76356,811.875,8113.7,8113.69,7,0,0,0,7,8.62739
76357,1727,31780.54,23072.13,6,3,0,0,9,3.90081
76358,1431.38,22832,22831.99,10,0,1,0,11,4.8178
76359,1289,21820.68,21820.66,10,2,1,0,13,5.95766
76360,4207,109426.42,69893.01,30,0,0,0,30,4.29228
76361,4462.13,75749.94,50913.04,27,1,2,0,30,5.8924
76362,2830.38,54448.39,54448.24,24,0,0,0,24,4.40786
76363,3107.38,43356.66,43356.67,27,0,1,0,28,6.45806
76364,3204.63,85524.16,48465.58,29,0,0,0,29,5.98363
76365,1146,7024.47,7024.44,13,0,0,0,13,18.5068
76366,16426,68887.22,67214.66,15,81,8,1,105,15.6216
76367,19836.88,151874.34,150716.81,145,4,1,0,150,9.95244
76368,3146.75,42978.71,37539.08,19,4,0,0,23,6.12695
76369,3420,90825.87,66339.83,21,0,3,0,24,3.61774
76370,3705.63,41069.53,41069.68,28,0,1,0,29,7.06117
76371,467.625,5198.79,5198.82,4,0,0,0,4,7.69405
76372,3951.88,44039.98,41747.68,26,0,2,0,28,6.70696
76373,1667.38,23789.92,23789.87,10,1,1,0,12,5.04416
76374,1256.25,13794.72,13794.78,14,0,0,0,14,10.1488
76375,1894.63,34238.83,24157.62,12,0,0,0,12,4.96738
76377,46551,307608.61,295856.94,181,13,61,2,257,8.68663
76378,8730,142425.57,109192.11,52,4,5,0,61,5.58648
76379,996.375,10567.32,10567.35,7,0,0,0,7,6.62418
76380,1827.63,33848.35,24279.6,13,0,0,0,13,5.35429
76381,754.875,19726.56,19726.6,5,0,0,0,5,2.53465
76382,7385.88,81861.17,65970.1,48,0,3,0,51,7.73078
76383,877,12835.6,12835.61,9,0,0,0,9,7.01174
76384,55316.13,247273.35,239647.45,39,113,36,3,191,7.97004
76385,6562.88,85038.2,69062.18,57,0,1,0,58,8.39823
76386,1741,33991.88,29184.72,12,0,0,0,12,4.11174
76387,2263.5,25030.47,25030.52,21,0,1,0,22,8.78927
76388,5809,74358.25,58415.51,19,0,1,0,20,3.42375
76389,429.375,5925.9,5925.86,4,0,0,0,4,6.75008
76390,6185.75,124799.74,68993.97,39,2,4,0,45,6.52231
76391,22404,235306.62,178501.9,146,4,5,1,156,8.7394
76392,11444.63,95378.69,95378.82,88,13,3,0,104,10.9039
76394,5283.75,36437.85,36437.95,23,0,3,0,26,7.13542
76395,3673.88,74596.43,57480.51,38,0,0,0,38,6.61094
76396,1170,29400.51,24083.1,7,15,0,0,22,9.13504
76397,7065,47937.99,47937.96,65,0,2,0,67,13.9764
76398,1832.63,34268.83,27775.21,15,0,0,0,15,5.4005
76399,680,12995.13,12995.13,5,0,0,0,5,3.8476
76400,11657.88,100989.85,100989.81,57,3,11,0,71,7.03041
76401,14822.88,235575.24,189218.56,120,1,4,0,125,6.60612
76402,24052,178632.02,162724.46,157,61,2,0,220,13.5198
76403,1113.63,10007.87,10007.82,4,4,0,0,8,7.99375
76404,9354.75,118076.6,92961.15,61,0,2,0,63,6.77702
76405,1844.38,94212.84,24962.14,14,0,0,0,14,5.60849
76406,6490.38,75654.51,73883.03,39,64,0,0,103,13.941
76407,1953.63,23023.43,23023.34,12,0,1,0,13,5.64644
76408,5212,75146.23,74702.14,51,0,2,0,53,7.09484
76409,5900.38,143544.1,50955.58,44,0,1,0,45,8.83122
76410,17650,60209.92,54541.61,28,98,18,0,144,26.4019
76411,2033.88,46387.33,46387.43,6,0,4,0,10,2.15576
76412,5292.88,54751.61,54751.55,40,0,2,0,42,7.67102
76413,563,5405.54,5405.46,5,0,0,0,5,9.2499
76414,17172.88,121894.9,121314.45,92,43,16,0,151,12.447
76415,3104.38,65384.35,47818.11,18,0,2,0,20,4.18252
76416,5923.5,71253.15,71253.34,34,0,1,1,36,5.05239
76417,3257,42740.84,42740.67,24,0,2,0,26,6.0832
76418,6792.38,71305.07,71305.09,52,0,3,0,55,7.71333
76419,610.25,13561.54,11567.54,4,0,0,0,4,3.45795
76420,10923,434631.55,110634.97,20,0,3,0,23,2.07891
76421,2829.13,74447.67,41095.01,18,2,2,0,22,5.35345
76422,1383.75,14256.09,11859.96,13,0,0,0,13,10.9613
76424,2065.5,22863.97,22863.99,19,0,0,0,19,8.31001
76425,3613,41658.71,41658.72,22,0,0,0,22,5.28101
76426,1677,74616.73,35399.34,13,0,1,0,14,3.95488
76427,8549.13,176193.2,92958.33,57,2,1,1,61,6.56208
76428,114,2783.11,2783.09,1,0,0,0,1,3.59313
76429,73391,344457.55,341644.38,467,561,34,2,1064,31.1435
76430,350.5,9193.05,5952.65,3,0,0,0,3,5.03977
76431,1161,26182.52,18922.29,10,0,1,1,12,6.34173
76432,1985,83240.23,28809.53,12,0,0,0,12,4.16529
76433,5717.38,121952.34,81625.38,39,0,0,0,39,4.77793
76434,7825.88,126086.07,85370.23,58,4,1,0,63,7.37962
76435,7724.88,120015.74,88651.98,65,0,5,0,70,7.89604
76436,4754,210799.1,84975.17,40,0,0,0,40,4.70726
76437,8114.25,103210.69,103210.55,62,0,0,0,62,6.00714
76438,1935.13,28570.5,19938.89,15,0,0,0,15,7.52299
76439,957.5,11794.08,11794.12,8,0,0,0,8,6.78304
76440,1436.63,37780.25,19958.4,11,0,0,0,11,5.51146
76441,4678.38,37200.4,37200.3,30,0,3,0,33,8.8709
76442,4874.13,59574.8,59574.88,40,0,2,0,42,7.04995
76443,2483.13,49017.02,35469.97,18,0,0,0,18,5.07472
76445,3677.38,60056.35,47135.41,27,0,0,0,27,5.72818
76446,2676.13,26033.5,26033.55,16,0,0,0,16,6.14591
76447,55385.13,377992.75,342309.06,145,345,37,2,529,15.4539
76448,8075.88,56363.45,54366.68,75,0,0,1,76,13.9791
76449,5146.63,79540.43,63999.19,36,0,0,0,36,5.62507
76450,639,7452.79,7452.76,6,0,0,0,6,8.05071
76451,70050,359899.81,269333.4,93,195,91,2,381,14.146
76452,25303.75,205246.23,205246.35,182,51,5,0,238,11.5958
76453,4745.88,57708.6,57708.55,32,0,1,0,33,5.71839
76454,4492,208937.7,33685.55,4,0,3,0,7,2.07804
76455,2544,37028.77,37028.75,22,0,0,0,22,5.94133
76456,3287.63,38437.62,38437.51,28,0,1,0,29,7.54471
76457,4730.25,48679.8,41799.57,42,12,0,0,54,12.9188
76458,866.25,19126.72,14432.42,8,0,0,0,8,5.54308
76459,1471.38,23405.37,23405.29,8,0,3,0,11,4.69979
76460,1638,27003.91,26184.41,14,0,1,0,15,5.7286
76461,5708.63,144394.35,76786.53,36,0,1,0,37,4.81855
76462,37076.25,209623.69,209623.52,85,132,40,3,260,12.4032
76463,2253,34442.56,30493.81,16,2,0,0,18,5.90284
76464,26122,320400.32,220437.64,161,15,2,0,178,8.07485
76465,1810,57691.88,27447.2,16,0,0,0,16,5.82937
76467,7483.63,81944.19,81944.37,72,0,0,0,72,8.78645
76468,11645.88,136318.28,114369.74,96,1,4,0,101,8.83101
76469,4196.38,62990.08,62990.12,37,0,0,0,37,5.87394
76470,4406,59998.65,56413.75,42,0,0,0,42,7.44499
76471,4498.75,63869.17,63869.11,36,0,2,0,38,5.94967
76472,5687.5,83217.14,83217.3,49,0,0,0,49,5.8882
76473,10134.75,253704.22,140888.08,52,3,3,0,58,4.11674
76474,27330,127980.32,127979.96,111,290,10,2,413,32.2707
76475,72279.38,373086.08,362943.36,396,225,37,0,658,18.1296
76476,61782.51,430052.07,430051.98,404,75,23,1,503,11.6963
76477,2364.5,35680.8,34261.56,13,2,0,0,15,4.37808
76478,1201.38,25431.1,20849.15,12,0,0,0,12,5.75563
76479,877,9414.61,9414.61,9,0,0,0,9,9.55961
76480,1750.5,27835.55,27835.55,14,0,0,0,14,5.02954
76481,68264.38,560723.75,540093.16,325,52,18,0,395,7.31355
76482,9513.63,150798.35,99361.32,48,0,14,0,62,6.23985
76483,3613.13,66609.41,66609.47,30,0,1,0,31,4.65399
76484,75394,702620.15,646013.92,250,124,12,0,386,5.9751
76485,1321.63,14995.62,14995.59,6,0,3,0,9,6.00176
76486,522,4268.68,4268.67,5,2,0,0,7,16.3985
76487,1250.38,57434.21,21592.6,14,0,0,0,14,6.4837
76488,4493.13,124536.75,50155.3,29,0,1,0,30,5.98142
76489,101979.13,322007.45,321211.81,32,0,9,1,42,1.30755
76490,8514,143395.33,121336.82,61,8,2,0,71,5.85148
76491,6694.88,137933.06,117119.04,46,0,1,0,47,4.01301
76492,216,2895.93,2895.89,2,0,0,0,2,6.90634
76493,3769.13,155395.4,59815.31,24,1,2,0,27,4.51389
76494,4952,96499.85,61187.32,35,0,0,0,35,5.72014
76495,33929.75,296527.39,236997.05,227,126,10,2,365,15.401
76497,24071,91691.97,91692.11,131,342,17,2,492,53.6578
76498,100661.38,342554.32,296421.77,162,844,53,6,1065,35.9285
76499,8997.25,146839.09,94646.01,75,0,2,0,77,8.13558
76500,2902.13,62518.03,31179.36,16,0,1,0,17,5.45232
76501,1439.13,35613.42,25837.78,11,0,0,0,11,4.25733
76502,3184.63,48048.12,33271.49,27,0,0,0,27,8.11506
76503,7044.13,62088.84,59478.14,33,0,4,0,37,6.22077
76504,632.625,9009,9008.97,7,0,0,0,7,7.77003
76505,536.875,22315.1,13690.27,6,0,0,0,6,4.38267
76506,3870.88,46616.36,46616.51,25,0,1,0,26,5.57742
76507,4492.25,58545.97,32109.52,22,0,2,0,24,7.47442
76508,4451.13,63806.24,46553.77,19,0,0,0,19,4.0813
76509,14966.88,163957.46,149519.9,67,0,9,0,76,5.08294
76510,1896.38,36709.61,36709.5,16,0,0,0,16,4.35854
76511,314,7286.21,7286.14,3,0,0,0,3,4.11741
76512,796,4353.63,4353.61,2,0,0,0,2,4.59389
76513,979.875,14686.22,13202.73,6,2,0,0,8,6.05935
76514,3470.75,35427.44,33270.52,29,0,3,0,32,9.61812
76515,4164.63,41954.92,41954.88,32,4,1,0,37,8.819
76516,3185,47179.72,29891.04,13,0,1,0,14,4.68368
76517,19109.88,284934.24,156384.04,100,3,5,0,108,6.90608
76518,2530.88,33056.87,33056.89,19,0,0,0,19,5.74767
76519,146,11853.47,7785.27,2,0,0,0,2,2.56896
76520,3341.13,46295.15,46295.17,23,0,2,0,25,5.40013
76521,1319.5,23281.3,23281.26,9,0,0,0,9,3.86577
76522,8604.75,166764.79,92892.95,56,0,0,0,56,6.02844
76523,1051.5,15156.03,15156.09,9,0,0,0,9,5.93821
76524,292.5,3383.03,3383.04,3,0,0,0,3,8.86776
76526,785,10354.06,10354.12,9,0,0,0,9,8.69219
76527,1875.88,26229.35,22566.97,16,0,0,0,16,7.09001
76528,5784,68529.12,68529.05,35,0,1,0,36,5.25325
76529,2198.75,41531.59,36898.98,22,0,0,0,22,5.96222
76530,1081,19787.94,19788.01,8,0,0,0,8,4.04285
76531,3580.5,46214.59,42077.83,18,0,0,0,18,4.27779
76532,6338.88,73923.04,64660.94,45,0,1,0,46,7.11403
76533,16699.38,137224.82,137225.22,14,0,11,3,28,2.04044
76534,2259,31065.29,20236.11,12,12,0,0,24,11.86
76535,5032,119119.03,69196.44,22,0,2,0,24,3.46839
76536,4249,31640.12,31640.2,38,3,0,0,41,12.9582
76537,849.75,15851.59,15851.64,7,0,1,0,8,5.0468
76538,1491.88,52679.97,45648.81,13,0,0,0,13,2.84783
76540,290111.63,653721.62,650749.29,225,5958,372,20,6575,101.037
76541,14620.38,110580.63,110580.71,75,2,11,0,88,7.95799
76542,1811.5,26067.88,26068,12,0,0,0,12,4.60334
76543,5398,85773.27,78124.04,36,3,0,0,39,4.99206
76544,1496.63,30142.77,28159.8,16,0,0,0,16,5.68186
76545,29344.88,284981.69,239968.54,108,57,20,2,187,7.79269
76546,1936,26702.7,26702.66,17,0,0,0,17,6.36641
76547,16478.63,223257.86,163618.39,115,0,6,0,121,7.39526
76548,7597.88,46607.41,46607.33,58,1,2,0,61,13.0881
76549,729.5,16889.99,16889.99,7,0,1,0,8,4.73653
76550,7533,159690.06,63959.09,47,0,7,0,54,8.4429
76551,3942.38,53605.81,53605.9,20,0,1,1,22,4.10403
76552,10930.38,45342.18,45342.1,51,166,9,0,226,49.8433
76553,1341.13,28328.95,21118.75,12,0,0,0,12,5.68215
76554,999.5,19380.32,17039.6,9,0,0,0,9,5.28181
76555,4674.13,61566.13,59439.8,34,0,0,0,34,5.72007
76556,5376.13,145571.2,92476.55,48,4,0,0,52,5.62305
76557,6375.5,161609.7,103034.52,48,1,6,0,55,5.33802
76558,2630.5,38233.7,37603.08,27,0,1,0,28,7.4462
76559,3183.63,48252.31,44968.03,30,0,0,0,30,6.67141
76560,8166.38,63367.94,59712.74,58,0,3,0,61,10.2156
76561,48687,282121.79,217563.3,94,227,25,3,349,16.0413
76562,6439.5,106268.35,63854.84,42,0,9,0,51,7.98687
76563,10742.25,126908.37,123727.04,62,0,1,0,63,5.09185
76564,481.5,5731.92,5731.92,4,0,0,0,4,6.97847
76565,15078.38,226861.98,121286.45,43,21,15,0,79,6.51351
